ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
3585,Find Weighted Median Node in Tree,Hard,https://leetcode.com/problems/find-weighted-median-node-in-tree/,"Array, Binary Search, Dynamic Programming, Tree, Depth-First Search",23.22,False,Algorithms,58,5,,[]
3574,Maximize Subarray GCD Score,Hard,https://leetcode.com/problems/maximize-subarray-gcd-score/,"Array, Math, Enumeration, Number Theory",22.26,False,Algorithms,40,4,,[]
3594,Minimum Time to Transport All Individuals,Hard,https://leetcode.com/problems/minimum-time-to-transport-all-individuals/,"Array, Dynamic Programming, Bit Manipulation, Graph, Heap (Priority Queue), Shortest Path, Bitmask",25.48,False,Algorithms,36,4,,[]
3573,Best Time to Buy and Sell Stock V,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-v/,"Array, Dynamic Programming",39.92,False,Algorithms,82,12,,"[{""title"": ""Best Time to Buy and Sell Stock"", ""titleSlug"": ""best-time-to-buy-and-sell-stock"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3599,Partition Array to Minimize XOR,Medium,https://leetcode.com/problems/partition-array-to-minimize-xor/,"Array, Dynamic Programming, Bit Manipulation, Prefix Sum",39.93,False,Algorithms,94,5,,[]
3625,Count Number of Trapezoids II,Hard,https://leetcode.com/problems/count-number-of-trapezoids-ii/,"Array, Hash Table, Math, Geometry",12.03,False,Algorithms,29,14,,[]
3622,Check Divisibility by Digit Sum and Product,Easy,https://leetcode.com/problems/check-divisibility-by-digit-sum-and-product/,Math,63.99,False,Algorithms,38,0,,[]
3623,Count Number of Trapezoids I,Medium,https://leetcode.com/problems/count-number-of-trapezoids-i/,"Array, Hash Table, Math, Geometry",29.61,False,Algorithms,61,9,,[]
3549,Multiply Two Polynomials,Hard,https://leetcode.com/problems/multiply-two-polynomials/,"Array, Math",63.78,True,Algorithms,5,1,,[]
3560,Find Minimum Log Transportation Cost,Easy,https://leetcode.com/problems/find-minimum-log-transportation-cost/,Math,41.47,False,Algorithms,48,15,,[]
3540,Minimum Time to Visit All Houses,Medium,https://leetcode.com/problems/minimum-time-to-visit-all-houses/,"Array, Prefix Sum",67.14,True,Algorithms,6,2,,[]
3613,Minimize Maximum Component Cost,Medium,https://leetcode.com/problems/minimize-maximum-component-cost/,"Binary Search, Union Find, Graph, Sorting",42.94,False,Algorithms,94,5,,[]
3576,Transform Array to All Equal Elements,Medium,https://leetcode.com/problems/transform-array-to-all-equal-elements/,"Array, Greedy",32.27,False,Algorithms,83,7,,[]
3545,Minimum Deletions for At Most K Distinct Characters,Easy,https://leetcode.com/problems/minimum-deletions-for-at-most-k-distinct-characters/,"Hash Table, String, Greedy, Sorting, Counting",72.6,False,Algorithms,73,6,,[]
3630,Partition Array for Maximum XOR and AND,Hard,https://leetcode.com/problems/partition-array-for-maximum-xor-and-and/,"Array, Math, Greedy, Enumeration",11.19,False,Algorithms,23,5,,[]
3567,Minimum Absolute Difference in Sliding Submatrix,Medium,https://leetcode.com/problems/minimum-absolute-difference-in-sliding-submatrix/,"Array, Sorting, Matrix",68.79,False,Algorithms,45,2,,[]
3569,Maximize Count of Distinct Primes After Split,Hard,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split/,"Array, Math, Segment Tree, Number Theory",14.78,False,Algorithms,20,4,,[]
3555,Smallest Subarray to Sort in Every Sliding Window,Medium,https://leetcode.com/problems/smallest-subarray-to-sort-in-every-sliding-window/,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack",64.17,True,Algorithms,6,1,,"[{""title"": ""Shortest Unsorted Continuous Subarray"", ""titleSlug"": ""shortest-unsorted-continuous-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3568,Minimum Moves to Clean the Classroom,Medium,https://leetcode.com/problems/minimum-moves-to-clean-the-classroom/,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix",25.58,False,Algorithms,113,15,,[]
3550,Smallest Index With Digit Sum Equal to Index,Easy,https://leetcode.com/problems/smallest-index-with-digit-sum-equal-to-index/,"Array, Math",79.97,False,Algorithms,47,2,,[]
3541,Find Most Frequent Vowel and Consonant,Easy,https://leetcode.com/problems/find-most-frequent-vowel-and-consonant/,"Hash Table, String, Counting",87.63,False,Algorithms,71,2,,[]
3563,Lexicographically Smallest String After Adjacent Removals,Hard,https://leetcode.com/problems/lexicographically-smallest-string-after-adjacent-removals/,"String, Dynamic Programming",15.08,False,Algorithms,46,4,,[]
3521,Find Product Recommendation Pairs,Medium,https://leetcode.com/problems/find-product-recommendation-pairs/,Database,62.79,False,Database,40,2,,[]
3577,Count the Number of Computer Unlocking Permutations,Medium,https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/,"Array, Math, Brainteaser, Combinatorics",38.75,False,Algorithms,60,14,,"[{""title"": ""Clumsy Factorial"", ""titleSlug"": ""clumsy-factorial"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3554,Find Category Recommendation Pairs,Hard,https://leetcode.com/problems/find-category-recommendation-pairs/,Database,66.49,False,Database,19,3,,[]
3582,Generate Tag for Video Caption,Easy,https://leetcode.com/problems/generate-tag-for-video-caption/,"String, Simulation",31.63,False,Algorithms,56,27,,[]
